trade_date,code_000333,code_601318,code_000895,code_601398
2023-01-03,44.86177736,40.6991256,20.9413092,3.54031589
2023-01-04,46.4788075,41.89031952,20.892438,3.58138684
2023-01-05,47.48188502,42.23559312,21.0390516,3.55674427
2023-01-06,46.70363522,42.93477216,20.9005832,3.56495846
2023-01-09,46.79010742,43.94469744,20.9250188,3.55674427
2023-01-10,46.262627,42.47728464,20.8761476,3.5321017
2023-01-11,47.127349,43.7634288,20.6155012,3.54031589
2023-01-12,47.36082394,43.94469744,20.5014684,3.5321017
2023-01-13,48.3811959,45.1876824,21.0227612,3.56495846
2023-01-16,49.8944594,44.96325456,21.3567144,3.56495846
2023-01-17,50.153876,44.453976,21.0797776,3.55674427
2023-01-18,49.8079872,44.4971352,20.851712,3.56495846
2023-01-19,49.61774836,44.72156304,20.9087284,3.55674427
2023-01-20,49.35833176,44.9718864,20.851712,3.55674427
2023-01-30,48.1217793,44.43671232,20.9168736,3.54853008
2023-01-31,47.7326544,44.00512032,20.77026,3.54853008
2023-02-01,47.992071,44.3244984,21.0309064,3.54031589
2023-02-02,46.66039912,43.87564272,21.1205036,3.5321017
2023-02-03,46.09832982,42.8139264,20.77026,3.5321017
2023-02-06,44.3170025,41.57094144,20.4933232,3.52388751
2023-02-07,44.533183,42.0370608,20.5340492,3.52388751
2023-02-08,44.10946922,41.864424,20.4281616,3.5321017
2023-02-09,44.55912466,42.57223488,20.5177588,3.5321017
2023-02-10,44.63694964,42.5549712,20.5992108,3.54031589
2023-02-13,45.34602168,42.511812,20.9575996,3.52388751
2023-02-14,45.14713562,43.0728816,21.3241336,3.5321017
2023-02-15,44.4034747,42.19243392,21.3159884,3.52388751
2023-02-16,44.34294416,42.4686528,21.0797776,3.51567332
2023-02-17,44.42941636,42.1233792,21.1693748,3.51567332
2023-02-20,46.0896826,43.1160408,21.5196184,3.54031589
2023-02-21,46.29721588,43.16783184,21.7558292,3.54853008
2023-02-22,45.64002716,42.45138912,21.7721196,3.5321017
2023-02-23,46.15021314,42.27875232,21.8047004,3.5321017
2023-02-24,45.81297156,41.6054688,21.6336512,3.52388751
2023-02-27,45.3114328,41.2601952,21.58478,3.52388751
2023-02-28,45.36331612,41.6054688,21.5684896,3.5321017
2023-03-01,47.23111564,43.15056816,21.8617168,3.5321017
2023-03-02,47.4300017,43.3318368,21.7151032,3.54853008
2023-03-03,47.7326544,43.40089152,21.6499416,3.58138684
2023-03-06,46.54798526,41.93347872,21.6580868,3.57317265
2023-03-07,45.70920492,41.35514544,21.1123584,3.60602941
2023-03-08,45.21631338,40.76818032,21.014616,3.6142436
2023-03-09,45.5708494,40.25890176,20.8598572,3.59781522
2023-03-10,44.2305303,39.706464,20.648082,3.56495846
2023-03-13,45.01742732,40.138056,20.851712,3.6142436
2023-03-14,44.2305303,39.24034464,20.7784052,3.62245779
2023-03-15,43.63387212,39.6633048,20.8354216,3.66352874
2023-03-16,43.27068888,39.04181232,20.607356,3.71281388
2023-03-17,43.52145826,39.8791008,20.5177588,3.71281388
2023-03-20,43.61657768,39.34392672,20.200096,3.70459969
2023-03-21,45.0520162,39.71509584,20.5340492,3.65531455
2023-03-22,44.7061274,40.138056,20.5177588,3.71281388
2023-03-23,44.80989404,40.46606592,20.607356,3.71281388
2023-03-24,45.04336898,39.8791008,20.6725176,3.67995712
2023-03-27,44.8358357,39.69783216,20.648082,3.66352874
2023-03-28,44.17864698,39.60288192,20.7621148,3.68817131
2023-03-29,44.4467108,39.20581728,20.9250188,3.70459969
2023-03-30,47.10140734,39.25760832,20.9250188,3.71281388
2023-03-31,46.53069082,39.3611904,21.1286488,3.66352874
2023-04-03,47.29164618,39.43024512,21.1612296,3.65531455
2023-04-04,47.23976286,39.33529488,21.2671172,3.71281388
2023-04-06,46.71228244,38.91233472,21.38115,3.72102807
2023-04-07,47.28299896,39.38708592,21.2426816,3.72102807
2023-04-10,47.35217672,39.75825504,21.136794,3.73745645
2023-04-11,48.28607648,39.41298144,21.1449392,3.73745645
2023-04-12,47.992071,39.3611904,20.933164,3.78674159
2023-04-13,46.81604908,38.94686208,20.9983256,3.80316997
2023-04-14,46.64310468,39.26624016,20.933164,3.80316997
2023-04-17,47.92289324,40.98397632,21.1938104,3.88531187
2023-04-18,49.09891516,41.96800608,21.706958,3.91816863
2023-04-19,48.49360976,41.7781056,21.4544568,3.90995444
2023-04-20,49.32374288,42.11474736,21.503328,3.89352606
2023-04-21,49.1594457,40.34522016,21.3159884,3.8606693
2023-04-24,49.31509566,40.0517376,21.0390516,3.87709768
2023-04-25,49.8512233,39.78415056,21.2671172,3.90174025
2023-04-26,49.0297374,39.52519536,20.6155012,3.90174025
2023-04-27,49.51398172,43.47857808,20.9038409,3.90174025
2023-04-28,49.09891516,44.7129312,21.1582487,3.87709768
2023-05-05,47.84506826,46.46519472,21.10736714,4.09888081
2023-05-08,47.56835722,47.40606528,21.51441962,4.3535207
2023-05-09,47.3867656,46.16308032,21.59074196,4.32887813
2023-05-10,47.9055988,45.15315504,21.7094656,4.13173757
2023-05-11,47.9488349,45.1876824,21.48897884,4.107095
2023-05-12,48.26878204,44.25544368,21.44657754,4.09066662
2023-05-15,48.93461798,46.36161264,21.44657754,4.13995176
2023-05-16,47.8623627,45.9213888,21.87059054,4.11530919
2023-05-17,47.57700444,44.80788144,21.31089338,4.09888081
2023-05-18,47.55971,44.73019488,21.08192636,4.20566528
2023-05-19,48.2514876,44.05691136,21.20065,4.13995176
2023-05-22,49.03838462,44.38492128,21.624663,4.16459433
2023-05-23,48.3811959,43.0728816,21.48897884,4.04959567
2023-05-24,46.3490992,41.83852848,21.22609078,3.90995444
2023-05-25,46.70363522,41.7781056,21.17520922,3.89352606
2023-05-26,46.91981572,41.81263296,21.18368948,3.9428112
2023-05-29,46.2193909,41.46735936,21.0310448,3.98388215
2023-05-30,45.25090226,41.42420016,20.96320272,3.95923958
2023-05-31,44.38618026,40.569648,20.84447908,3.96745377
2023-06-01,44.39524896,40.9580808,20.63247258,3.99209634
2023-06-02,47.0377152,42.3823344,20.92080142,4.00852472
2023-06-05,48.98097216,41.87305584,20.79359752,4.07423824
2023-06-06,49.22614944,42.08885184,20.62399232,4.07423824
2023-06-07,50.170536,42.30464784,20.67487388,4.11530919
2023-06-08,51.65976096,42.87434928,20.92928168,4.18102271
2023-06-09,50.95147104,42.71034432,20.98016324,4.16459433
2023-06-12,52.0774704,42.78803088,21.09040662,4.08245243
2023-06-13,51.40550304,42.83982192,21.1158474,4.107095
2023-06-14,51.83229312,42.7508538,21.1158474,4.00031053
2023-06-15,52.667712,43.08004872,21.26001182,4.03316729
2023-06-16,52.9855344,43.2401976,21.14976844,4.00852472
2023-06-19,51.58711584,42.26151,20.88688038,3.96745377
2023-06-20,52.28632512,41.71878324,20.79359752,3.96745377
2023-06-21,52.92196992,41.49635424,20.75967648,3.98388215
2023-06-26,52.79484096,40.86465588,20.62399232,3.91816863
2023-06-27,54.20234016,41.1938508,20.6494331,3.95102539
2023-07-03,53.63025984,42.86651688,20.91232116,4.00852472
2023-07-04,53.4849696,42.6618822,20.91232116,3.96745377
2023-07-05,53.68474368,42.1280526,20.6918344,3.95923958
2023-07-06,53.00369568,42.0835668,20.54766998,3.91816863
2023-07-07,52.440696,42.00349236,20.62399232,3.90995444
2023-07-10,51.42366432,41.46966276,20.776637,3.91816863
2023-07-11,51.45090624,41.9945952,20.7342357,3.96745377
2023-07-12,51.84137376,42.07466964,20.59855154,3.95102539
2023-07-13,52.4860992,43.25799192,20.81055804,4.00031053
2023-07-14,52.17735744,43.27578624,20.776637,4.00031053
2023-07-17,51.87769632,42.7508538,20.66639362,4.00031294
2023-07-18,51.52355136,42.3504816,20.59007128,3.97405268
2023-07-19,52.78576032,42.50173332,20.63247258,3.99155952
2023-07-20,52.24092192,42.19033272,20.58159102,4.00906636
2023-07-21,51.87769632,41.78996052,20.7342357,4.00906636
2023-07-24,51.55079328,41.47855992,20.62399232,4.00031294
2023-07-25,53.55761472,44.0854278,20.81055804,4.04408004
2023-07-26,53.19438912,44.00535336,20.9462422,4.05283346
2023-07-27,53.10358272,44.37903408,20.91232116,4.1141074
2023-07-28,54.24774336,46.20295188,21.22609078,4.19288818
2023-07-31,53.86635648,46.7990616,21.40417624,4.17538134
2023-08-01,52.894728,46.03390584,21.38721572,4.18413476
2023-08-02,52.9401312,45.74029956,21.35329468,4.08784714
2023-08-03,52.64955072,46.63001556,21.48049858,4.13161424
2023-08-04,52.59506688,46.1762604,21.44657754,4.14912108
2023-08-07,52.55874432,45.9983172,21.42113676,4.12286082
2023-08-08,51.759648,45.60684216,21.53138014,4.09660056
2023-08-09,52.26816384,45.60684216,21.57378144,4.12286082
2023-08-10,51.1694064,45.69581376,21.56530118,4.10535398
2023-08-11,50.10697152,43.92527892,21.26849208,4.03532662
2023-08-14,50.34306816,43.17791748,21.18368948,3.99155952
2023-08-15,50.08881024,43.31137488,21.14976844,4.06158688
2023-08-16,50.15237472,43.0177686,21.76034716,4.06158688
2023-08-17,50.70629376,42.62629356,21.59922222,4.0265732
2023-08-18,49.75282656,42.27930432,21.43809728,4.03532662
2023-08-21,49.38052032,41.52304572,21.40417624,3.99155952
2023-08-22,49.37143968,41.816652,21.27697234,4.04408004
2023-08-23,48.78119808,41.33620536,21.27697234,4.06158688
2023-08-24,49.9889232,41.371794,21.73490638,4.01781978
2023-08-25,50.17961664,41.82554916,21.90451158,4.07909372
2023-08-28,50.99687424,42.80423676,22.1758799,4.14036766
2023-08-29,50.8969872,43.20460896,22.37940614,4.05283346
2023-08-30,51.59619648,42.928797,22.75253758,4.01781978
2023-08-31,51.31469664,43.40924364,22.77797836,4.04408004
2023-09-01,52.60414752,44.5747716,22.80341914,4.00031294
2023-09-04,52.86748608,45.7758882,22.58293238,4.0265732
2023-09-05,52.46793792,44.6637432,22.71861654,4.01781978
2023-09-06,51.92309952,45.40220748,22.60837316,4.03532662
2023-09-07,51.36918048,44.68153752,22.58293238,4.04408004
2023-09-08,50.92422912,44.59256592,22.63381394,4.01781978
2023-09-11,51.24205152,44.80609776,22.5465628,4.01781978
2023-09-12,51.95034144,44.4413142,23.09626615,4.0265732
2023-09-13,51.759648,44.040942,23.07881525,4.04408004
2023-09-14,51.3510192,43.76513004,23.13116795,4.09660056
2023-09-15,50.66089056,43.7740272,23.1398934,4.05283346
2023-09-18,50.9423904,43.8629988,23.20097155,4.06158688
2023-09-19,50.8969872,43.84520448,23.6459695,4.09660056
2023-09-20,51.65976096,43.49821524,23.7506749,4.10535398
2023-09-21,51.14216448,43.14232884,23.2795006,4.10535398
2023-09-22,51.8050512,44.77940628,23.30567695,4.14912108
2023-09-25,51.42366432,43.64946696,23.209697,4.14036766
2023-09-26,50.851584,43.20460896,23.11371705,4.1141074
2023-09-27,51.02411616,43.29358056,23.23587335,4.0703403
2023-09-28,50.37939072,42.9732828,23.02646255,4.09660056
2023-10-09,50.63364864,42.76864812,23.1224425,4.08784714
2023-10-10,49.73466528,42.3504816,23.02646255,4.09660056
2023-10-11,49.73466528,42.43055604,22.9828353,4.13161424
2023-10-12,50.19777792,43.08894588,23.00901165,4.23665528
2023-10-13,49.93443936,42.67967652,22.8083263,4.28042238
2023-10-16,50.01616512,42.29709864,22.72979725,4.30668264
2023-10-17,50.74261632,42.42165888,22.7734245,4.30668264
2023-10-18,50.37031008,42.16364124,22.5989155,4.31543606
2023-10-19,49.24431072,40.9714218,22.0753885,4.22790186
2023-10-20,48.29084352,40.78458144,21.9008795,4.19288818
2023-10-23,48.354408,40.87355304,22.0579376,4.21914844
2023-10-24,48.29084352,41.0159076,22.08411395,4.16662792
2023-10-25,47.60071488,41.31547983,22.4244065,4.12286082
2023-10-26,47.68244064,41.4879681,22.64254275,4.19288818
2023-10-27,48.79935936,41.01589494,22.90430625,4.17538134
2023-10-30,49.489488,41.13391323,22.78214995,4.10535398
2023-10-31,48.05474688,41.27008818,22.86940445,4.14036766
2023-11-01,48.13647264,40.95234663,22.99156075,4.17538134
2023-11-02,48.29084352,40.90695498,22.99156075,4.18413476
2023-11-03,47.9457792,41.07036492,22.95665895,4.14912108
2023-11-06,48.25452096,41.81478798,22.5291119,4.12286082
2023-11-07,48.2181984,41.1248349,22.65999365,4.13161424
2023-11-08,47.9911824,40.51658679,22.5814646,4.12286082
2023-11-09,47.6279568,39.29101224,22.511661,4.18413476
2023-11-10,47.8549728,38.44672755,22.43313195,4.18413476
2023-11-13,46.36574784,38.48304087,22.29352475,4.16662792
2023-11-14,46.39298976,38.68276413,22.38077925,4.19288818
2023-11-15,46.80161856,39.36363888,22.4942101,4.19288818
2023-11-16,46.992312,38.91880071,22.3546029,4.2016416
2023-11-17,47.09219904,38.72815578,22.17136845,4.18413476
2023-11-20,47.60979552,38.95511403,22.511661,4.21039502
2023-11-21,47.6279568,39.10036731,22.511661,4.21039502
2023-11-22,47.3555376,38.79170409,22.53783735,4.2016416
2023-11-23,47.90945664,39.08221065,22.53783735,4.2016416
2023-11-24,47.65519872,38.75539077,22.7036209,4.2016416
2023-11-27,47.19208608,37.99281105,22.6163664,4.18413476
2023-11-28,47.70060192,37.82940111,22.7036209,4.19288818
2023-11-29,47.22840864,36.99419475,22.62509185,4.17538134
2023-11-30,46.91966688,37.0395864,22.7734245,4.21039502
2023-12-01,45.9026352,37.23930966,22.6338173,4.21039502
2023-12-04,45.48492576,36.65829654,22.6338173,4.2016416
2023-12-05,44.69491008,35.88663849,22.53783735,4.16662792
2023-12-06,44.65858752,35.88663849,22.6163664,4.1141074
2023-12-08,45.71194176,35.57797527,22.8432281,4.14036766
2023-12-11,46.32942528,35.9501868,22.50293555,4.14036766
2023-12-12,46.311264,36.12267507,22.5814646,4.19288818
2023-12-13,46.02976416,35.30562537,22.511661,4.19288818
2023-12-14,46.21137696,35.1331371,22.38077925,4.17538134
2023-12-15,45.70286112,35.21484207,22.1277412,4.14036766
2023-12-18,46.39298976,35.05143213,22.17136845,4.17538134
2023-12-19,46.084248,35.14221543,22.22372115,4.19288818
2023-12-20,46.33850592,34.90617885,22.0404867,4.19288818
2023-12-21,47.23748928,35.2239204,22.18881935,4.19288818
2023-12-22,47.91853728,35.4962703,22.2498975,4.18413476
2023-12-25,47.82773088,35.56889694,22.6687191,4.2016416
2023-12-26,47.9457792,35.4962703,22.8083263,4.21914844
2023-12-27,48.6722304,35.405487,23.0875407,4.22790186
2023-12-28,49.0808592,36.54935658,23.2969515,4.17538134
2023-12-29,49.60753632,36.5856699,23.30567695,4.18413476
2024-01-02,49.54397184,35.83216851,23.1747952,4.19288818
2024-01-03,49.4440848,35.7686202,23.1922461,4.23665528
2024-01-04,50.170536,35.3147037,23.23587335,4.28042238
2024-01-05,50.4883584,35.37825201,23.2969515,4.26291554
2024-01-08,49.94352,34.90617885,23.2445988,4.27166896
2024-01-09,50.09789088,34.84263054,23.16606975,4.27166896
2024-01-10,50.14329408,34.33424406,23.4540096,4.2454087
2024-01-11,49.94352,34.88802219,23.20097155,4.18413476
2024-01-12,49.94352,34.52488899,23.4714605,4.21039502
2024-01-15,50.74261632,34.65198561,23.7681258,4.25416212
2024-01-16,51.68700288,35.1331371,23.82920395,4.28042238
2024-01-17,51.18756768,34.50673233,23.65469495,4.23665528
2024-01-18,51.2148096,35.39640867,23.75940035,4.2454087
2024-01-19,50.97871296,35.5870536,23.6634204,4.28042238
2024-01-22,50.25226176,35.84124684,23.3144024,4.28042238
2024-01-23,51.19664832,35.73230688,23.733224,4.28042238
2024-01-24,51.93218016,36.46765161,23.9251839,4.35044974
2024-01-25,51.1694064,37.35732795,24.38763275,4.38546342
2024-01-26,52.22276064,37.44811125,24.605769,4.45549078
2024-01-29,53.29427616,37.20299634,24.6232199,4.51676472
2024-01-30,52.86748608,36.48580827,24.59704355,4.49050446
2024-01-31,52.894728,36.77631483,24.8151798,4.52551814
2024-02-01,53.40324384,36.5856699,24.82390525,4.49925788
2024-02-02,52.894728,36.4041033,24.5883181,4.52551814
2024-02-05,53.9844048,36.93064644,25.3910595,4.63055918
2024-02-06,54.4384368,37.72953948,25.6353721,4.65681944
2024-02-07,55.49179104,38.47396254,25.652823,4.57803866
2024-02-08,54.74717856,38.83709574,24.92861065,4.51676472
2024-02-19,55.0286784,38.79170409,25.57429395,4.61305234
2024-02-20,56.0275488,38.44672755,25.9843901,4.6830797
2024-02-21,56.03662944,39.57244047,25.99311555,4.73560022
2024-02-22,55.7097264,39.6723021,26.15017365,4.74435364
2024-02-23,54.13877568,40.00820031,25.9145865,4.79687416
2024-02-26,54.7562592,38.99142735,25.6877248,4.65681944
2024-02-27,56.22732288,39.14575896,25.64409755,4.6393126
2024-02-28,56.13651648,38.71907745,25.6179212,4.66557286
2024-02-29,56.87204832,38.9460357,25.4957649,4.66557286
2024-03-01,58.54288608,39.02774067,25.4259613,4.67432628
2024-03-04,58.6609344,38.43764922,25.7924302,4.65681944
2024-03-05,59.06048256,38.86433073,26.0890955,4.77936732
2024-03-06,58.57920864,38.5829025,25.6702739,4.6830797
2024-03-07,59.7506112,39.09128898,26.0192919,4.70933996
2024-03-08,60.0230304,38.92787904,25.55684305,4.71809338
2024-03-11,59.40554688,39.18207228,25.41723585,4.70058654
2024-03-12,58.23414432,39.77216373,24.9198852,4.5517784
2024-03-13,58.17966048,38.70092079,24.71919985,4.52551814
2024-03-14,58.570128,38.53751085,24.85880705,4.54302498
2024-03-15,58.13425728,38.56474584,24.96351245,4.56053182
2024-03-18,56.62687104,38.63737248,25.13802145,4.53427156
2024-03-19,56.8448064,37.97465439,24.9373361,4.5080113
2024-03-20,56.19100032,38.05635936,25.0943942,4.5517784
2024-03-21,54.9832752,38.15622099,24.9722379,4.56928524
2024-03-22,56.86296768,36.82170648,24.8326307,4.5955455
2024-03-25,57.1172256,36.71276652,24.6930235,4.63055918
2024-03-26,56.95377408,37.1303697,24.92861065,4.66557286
2024-03-27,57.81643488,36.90341145,22.57273915,4.69183312
2024-03-28,58.64277312,36.93972477,22.4942101,4.5955455
2024-03-29,58.31587008,37.04866473,22.90430625,4.62180576
2024-04-01,60.13199808,37.44811125,23.3144024,4.63055918
2024-04-02,60.15924,37.221153,23.42783325,4.67432628
2024-04-03,60.59511072,36.7672365,23.25332425,4.66557286
2024-04-08,59.31474048,36.51304326,23.3318533,4.7268468
2024-04-09,59.06048256,36.41318163,23.16606975,4.66557286
2024-04-10,59.17853088,35.5870536,23.2969515,4.67432628
2024-04-11,59.08772448,35.36009535,23.4540096,4.65681944
2024-04-12,58.92427296,34.29793074,23.44528415,4.65681944
2024-04-15,60.69499776,34.82447388,23.49763685,4.74435364
2024-04-16,62.02985184,34.75184724,23.56744045,4.78812074
2024-04-17,62.27502912,35.36009535,23.54998955,4.814381
2024-04-18,63.56448,36.0409701,24.082242,4.83188784
2024-04-19,63.56448,35.78677686,24.0647911,4.8581481
2024-04-22,63.54631872,36.15898839,24.02116385,4.79687416
2024-04-23,62.10249696,36.21345837,23.72449855,4.814381
2024-04-24,61.6575456,36.8580198,23.93390935,4.78812074
2024-04-25,61.96628736,37.27562298,23.907733,4.80562758
2024-04-26,62.08433568,37.70230449,24.17634,4.7268468
2024-04-29,61.9299648,38.20161264,24.086798,4.70933996
2024-04-30,63.36470592,37.54797288,24.1226148,4.75310706
2024-05-06,64.48162464,38.57382417,23.7465384,4.70058654
2024-05-07,64.5633504,38.66460747,23.5853628,4.7268468
2024-05-08,64.245528,38.08359435,23.8450346,4.73560022
2024-05-09,65.2443984,38.43764922,23.72863,4.70933996
2024-05-10,65.27164032,38.97327069,23.907714,4.7268468
2024-05-13,66.02533344,38.71907745,23.72863,4.73560022
2024-05-14,64.32725376,38.41041423,23.5137292,4.70058654
2024-05-15,66.12836416,37.98373272,23.1107902,4.70933996
2024-05-16,65.73022894,39.08221065,22.788439,4.73560022
2024-05-17,64.48842623,41.0340516,22.9943856,4.78812074
2024-05-20,63.10443237,41.27008818,23.2719658,4.77936732
2024-05-21,63.08547355,41.2156182,23.2630116,4.814381
2024-05-22,62.00482081,41.2156182,23.1555612,4.82313442
2024-05-23,62.31764134,40.65276174,22.8511184,4.80562758
2024-05-24,63.15182942,39.84479037,22.8690268,4.76186048
2024-05-27,64.07133219,40.0354353,23.2003322,4.79687416
2024-05-28,63.54048523,39.72677208,23.012294,4.80562758
2024-05-29,62.42191485,39.46350051,23.101836,4.78812074
2024-05-30,61.78679438,39.17299395,22.8421642,4.76186048
2024-05-31,61.38865916,39.10036731,22.6899428,4.75310706
2024-06-03,61.63512382,39.15483729,22.698897,4.76186048
2024-06-04,61.31282388,39.28193391,22.7615764,4.78812074
2024-06-05,60.59238872,39.10944564,22.4929504,4.77936732
2024-06-06,62.33660016,38.53751085,22.3138664,4.77936732
2024-06-07,61.76783556,38.23792596,22.2870038,4.83188784
2024-06-12,61.76783556,37.5842862,22.6809886,4.7268468
2024-06-13,60.59238872,37.4935029,22.7705306,4.75310706
